,Neighborhood,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
368,Trinity-Bellwoods,Frank & Oak,43.64657868,-79.40665517,Clothing Store
369,Trinity-Bellwoods,The Paper Place,43.645665,-79.411644,Paper / Office Supplies Store
370,Trinity-Bellwoods,Trinity Bellwoods Park,43.64707193,-79.41375593,Park
371,Trinity-Bellwoods,Jimmy's Coffee,43.64660324,-79.40671084,Coffee Shop
372,Trinity-Bellwoods,Spectacle,43.64594317,-79.41019227,Optical Shop
373,Trinity-Bellwoods,#Hashtag Gallery,43.65183025,-79.40810274,Art Gallery
374,Trinity-Bellwoods,Northern Belle,43.65090627,-79.41283996,Cocktail Bar
375,Trinity-Bellwoods,Nugateau,43.64676846,-79.40615059,Dessert Shop
376,Trinity-Bellwoods,Warby Parker,43.64656073,-79.40765043,Optical Shop
377,Trinity-Bellwoods,Sanko,43.64615369,-79.40958556,Grocery Store
378,Trinity-Bellwoods,White Squirrel,43.64547579,-79.41235326,Café
379,Trinity-Bellwoods,Falafel Queen,43.647265,-79.40353063,Middle Eastern Restaurant
380,Trinity-Bellwoods,Cherry Cola's Rock N Rolla Cabaret & Lounge,43.64785574,-79.40431991,Rock Club
381,Trinity-Bellwoods,Heel Boy,43.64640149,-79.40801834,Shoe Store
382,Trinity-Bellwoods,Tilt Arcade Bar,43.65172465,-79.40926552,Arcade
383,Trinity-Bellwoods,Cocktail Bar,43.65083028,-79.41325266,Cocktail Bar
384,Trinity-Bellwoods,Spice Trader & The Olive Pit,43.645701,-79.41150941,Restaurant
385,Trinity-Bellwoods,Early Bird Espresso & Brew Bar,43.64741918,-79.40255659,Café
386,Trinity-Bellwoods,416 Snack Bar,43.64751101,-79.40401785,Speakeasy
387,Trinity-Bellwoods,Ritual Hair.Skin.Beauty,43.64311243,-79.40670309,Salon / Barbershop
388,Trinity-Bellwoods,Le Swan,43.645102,-79.41483,American Restaurant
389,Trinity-Bellwoods,Simit & Chai Co.,43.64311149,-79.40667416,Bakery
390,Trinity-Bellwoods,Pure + Simple,43.64348251,-79.40466036,Spa
391,Trinity-Bellwoods,UFO Restaurant,43.64399943,-79.40876747,Diner
392,Trinity-Bellwoods,Archive,43.65093807,-79.41251401,Wine Bar
393,Trinity-Bellwoods,ps by prettysweet,43.64283797,-79.40828919,Dessert Shop
394,Trinity-Bellwoods,Oyster Boy,43.64512414,-79.4142595,Seafood Restaurant
395,Trinity-Bellwoods,Bathurst Local,43.6515279,-79.40583616,Bar
396,Trinity-Bellwoods,California Sandwiches,43.65266414,-79.41235165,Sandwich Place
397,Trinity-Bellwoods,Market 707,43.65212771,-79.4048442,Food Court
398,Trinity-Bellwoods,Duke's Cycle,43.64731422,-79.40297539,Bike Shop
399,Trinity-Bellwoods,Feel Good Guru,43.64548775,-79.41257505,Vegetarian / Vegan Restaurant
400,Trinity-Bellwoods,Outer Layer,43.64762127,-79.40142031,Gift Shop
401,Trinity-Bellwoods,Beast Restaurant,43.64408181,-79.40557853,American Restaurant
402,Little Portugal,Fix,43.64495345,-79.42827061,Café
403,Little Portugal,Tucana Coffee,43.64954885,-79.42914711,Coffee Shop
404,Little Portugal,Easy Tiger,43.64961927,-79.43022426,Boutique
405,Little Portugal,Pursuit OCR,43.6446003,-79.42959027,Athletics & Sports
406,Little Portugal,Imanishi Japanese Kitchen,43.64954562,-79.42655052,Japanese Restaurant
407,Little Portugal,Antler,43.64965242,-79.4305414,Restaurant
408,Little Portugal,Founder Restaurant & Bar,43.64947797,-79.42535204,Restaurant
409,Little Portugal,Mabel's Bakery,43.64293642,-79.42496132,Bakery
410,Little Portugal,The Workroom,43.64154137,-79.43121672,Arts & Crafts Store
411,Little Portugal,Chantecler,43.64175458,-79.43122637,French Restaurant
412,Little Portugal,Royale's Luncheonette,43.64960953,-79.42933727,Sandwich Place
413,Little Portugal,Gayley's Cafe,43.6495818,-79.42945883,Café
414,Little Portugal,The Goods,43.649259,-79.424022,Vegetarian / Vegan Restaurant
415,Little Portugal,Black Dice Cafe,43.64987579,-79.43441273,Bar
416,Little Portugal,Midfield Wine Bar & Tavern,43.64965892,-79.42992802,Wine Bar
417,Little Portugal,Sukho Thai,43.64964168,-79.43025433,Thai Restaurant
418,Little Portugal,Crown Flora Studio,43.64156296,-79.43008019,Gift Shop
419,Little Portugal,Ufficio,43.64943939,-79.42301401,Italian Restaurant
420,Little Portugal,Arabesque,43.652826,-79.43093,Café
421,Little Portugal,Guu Izakaya,43.64184555,-79.43108645,Japanese Restaurant
422,Little Portugal,Nuit Social,43.64285699,-79.42538813,Restaurant
423,Little Portugal,Lost & Found,43.64937792,-79.42414948,Men's Store
424,Little Portugal,Otto's Bierhalle,43.6434572,-79.42227892,Beer Bar
425,Little Portugal,Foxley Bistro,43.64864275,-79.42049526,Asian Restaurant
426,Little Portugal,Veghed,43.649224,-79.422326,Vegetarian / Vegan Restaurant
427,Little Portugal,The Tempered Room,43.64131496,-79.43314958,Bakery
428,Little Portugal,Paris Paris Bar,43.649237,-79.421436,Wine Bar
429,Little Portugal,Bellwoods Brewery,43.64709725,-79.41995538,Brewery
430,Little Portugal,Hanmoto,43.6495053,-79.42276783,Asian Restaurant
431,Little Portugal,Pizzeria Libretto,43.64897863,-79.42060357,Pizza Place
432,Little Portugal,Reposado,43.64732079,-79.42003151,Bar
433,Little Portugal,Mamakas Taverna,43.645908,-79.419654,Greek Restaurant
434,Little Portugal,Union Restaurant,43.64585979,-79.41953209,New American Restaurant
435,Little Portugal,The Theatre Centre,43.64324148,-79.42326393,Theater
436,Little Portugal,Gift Shop,43.64614872,-79.41948132,Cocktail Bar
437,Little Portugal,RaviSoups,43.6431639,-79.4237962,Soup Place
438,Little Portugal,Enoteca Sociale,43.64953524,-79.42579174,Italian Restaurant
439,Little Portugal,Rustic Cosmo,43.6419632,-79.42990296,Sandwich Place
440,Little Portugal,Giulietta,43.653481,-79.42769,Italian Restaurant
441,Little Portugal,Pretty Ugly,43.64181891,-79.43036815,Cocktail Bar
442,Little Portugal,OddSeoul,43.64619218,-79.41960145,Korean Restaurant
443,Little Portugal,El Almacen Yerba Mate Cafe + Gallery,43.64368185,-79.42162671,Café
444,Little Portugal,Bang Bang Ice Cream & Bakery,43.6462462,-79.41955285,Ice Cream Shop
445,Little Portugal,NuNu,43.64283114,-79.42562217,Ethiopian Restaurant
446,Little Portugal,Brockton Haunt,43.65232065,-79.43396553,Coffee Shop
447,Little Portugal,E.L. Ruddy Co. Cafe,43.64953206,-79.42782766,Vegetarian / Vegan Restaurant
448,Little Portugal,Tavoos Restaurant,43.65250122,-79.43305407,Middle Eastern Restaurant
449,Little Portugal,Loga's Corner,43.64047789,-79.43588433,Tibetan Restaurant
450,Little Portugal,Common Sort,43.64102989,-79.43461987,Thrift / Vintage Store
451,Little Portugal,Hero Heroine,43.6490042,-79.42068636,Salon / Barbershop
452,Niagara,Dollar General,45.77100372,-87.99539948,Discount Store
453,Niagara,Jim's Restaurant,45.77199501,-87.99936175,Restaurant
454,Niagara,The Shady Eye Saloon,45.77231216,-87.99943542,Restaurant
455,Niagara,Red Brick Inn,45.77209,-87.99962,New American Restaurant
456,Niagara,Little Quinnesec Falls,45.7732724,-87.98944575,Waterfall
457,New Toronto,Huevos Gourmet,43.60118765,-79.50371705,Mexican Restaurant
458,New Toronto,LCBO,43.60228083,-79.49930168,Liquor Store
459,New Toronto,Prince Of Wales Park,43.59879724,-79.49900059,Park
460,New Toronto,Sweet Olenka's,43.60109921,-79.50032493,Dessert Shop
461,New Toronto,Colonel Samuel Smith Park,43.59214105,-79.51230526,Park
462,New Toronto,Tatsu's Bread,43.59808627,-79.51829564,Bakery
463,New Toronto,Black Oak Brewing,43.61374712,-79.51633914,Brewery
464,New Toronto,Birds and Beans Cafe,43.61394176,-79.48906159,Café
465,New Toronto,Bombay on the Lake,43.60015731,-79.50799174,Indian Restaurant
466,New Toronto,SanRemo Bakery,43.61854214,-79.49948481,Bakery
467,New Toronto,Mastercard Centre For Hockey Excellence,43.6031261,-79.51981785,Skating Rink
468,New Toronto,Pearl Sushi,43.61485808,-79.48831115,Sushi Restaurant
469,New Toronto,Great Lakes Brewery,43.62279646,-79.5046771,Brewery
470,New Toronto,Humber Bay Park West,43.61321438,-79.47980898,Park
471,New Toronto,The Pie Commission,43.6235482,-79.51226497,Restaurant
472,New Toronto,Starbucks,43.624654,-79.508217,Coffee Shop
473,New Toronto,Dino's Wood Burning Pizza,43.62518558,-79.5083539,Pizza Place
474,New Toronto,Woody's Burgers bar and grill,43.59242415,-79.54182508,Burger Joint
475,New Toronto,Humber Bay Park,43.62239564,-79.47838892,Park
476,New Toronto,Fair Grounds Cafe & Roastery,43.59246508,-79.54157876,Café
477,New Toronto,Just Japan,43.59728452,-79.52147249,Sushi Restaurant
478,New Toronto,Tich - Modern Indian Cuisine,43.61758524,-79.48729759,Indian Restaurant
479,New Toronto,Bua Thai,43.626176,-79.50322823,Thai Restaurant
480,New Toronto,Tom's Dairy Freeze,43.627897,-79.496638,Ice Cream Shop
481,New Toronto,Fat Bastard Burrito Co.,43.62209851,-79.52188007,Burrito Place
482,New Toronto,Egglicious Cafe,43.60648456,-79.5206932,Breakfast Spot
483,New Toronto,Moksha Yoga Etobicoke,43.62267174,-79.51947825,Yoga Studio
484,New Toronto,The Galway Arms,43.624973,-79.50909042,Bar
485,New Toronto,Kumo Sushi,43.61538881,-79.52441453,Japanese Restaurant
486,New Toronto,Sushi 2 Go,43.6247293,-79.51034838,Sushi Restaurant
487,New Toronto,Starbucks,43.59442736,-79.53338424,Coffee Shop
488,New Toronto,Empanada Company,43.59221323,-79.54167854,South American Restaurant
489,New Toronto,George the Greek,43.59427166,-79.53394756,Greek Restaurant
490,New Toronto,Il Paesano Pizzeria & Restaurant,43.60128,-79.545028,Pizza Place
491,New Toronto,Lola's Gelato,43.6271336,-79.47836288,Ice Cream Shop
492,New Toronto,Petro-Canada,43.615433,-79.523769,Gas Station
493,New Toronto,Chaban,43.624817,-79.51043,Comfort Food Restaurant
494,New Toronto,Humber Bay Shores Park,43.62728196,-79.47662026,Park
495,New Toronto,Best Portuguese Chicken,43.62434433,-79.51248514,BBQ Joint
496,New Toronto,krazy roll,43.625837,-79.477113,Sushi Restaurant
497,New Toronto,Shawarma Grill Express,43.62176016,-79.52253947,Middle Eastern Restaurant
498,New Toronto,850 Degrees,43.59527578,-79.52953747,Pizza Place
499,New Toronto,Metro,43.62299211,-79.48258907,Supermarket
500,New Toronto,Albatros Pub,43.59973729,-79.51009384,Pub
501,New Toronto,TD Canada Trust,43.61318188,-79.48995836,Bank
502,New Toronto,Burrito Boyz,43.59232968,-79.54212024,Burrito Place
503,New Toronto,South St. Burger,43.63131375,-79.51840795,Burger Joint
504,New Toronto,Dollarama,43.60951043,-79.54768563,Discount Store
505,New Toronto,Starbucks,43.627931,-79.489286,Coffee Shop
506,New Toronto,Farm Boy,43.61001249,-79.54758145,Grocery Store
507,Moss Park,Moss Park,28.38054208,-81.18848893,Campground
508,Moss Park,Walmart Supercenter,28.3961458,-81.24465674,Big Box Store
509,Moss Park,Publix Super Market at Lake Nona Plaza,28.36469017,-81.24684866,Grocery Store
510,Moss Park,Starbucks,28.38655119,-81.24500614,Coffee Shop
511,Moss Park,PDQ,28.39229764,-81.24484856,Fast Food Restaurant
512,Moss Park,Toasted,28.40976908,-81.24268842,Sandwich Place
513,Moss Park,Yogurt Breeze,28.41187371,-81.24181181,Frozen Yogurt Shop
514,Moss Park,Publix,28.41294087,-81.24085502,Grocery Store
515,Moss Park,Sam's Club,28.39307448,-81.24805635,Warehouse Store
516,Moss Park,Wawa,28.348693,-81.233668,Convenience Store
517,Moss Park,Lowe's,28.3876059,-81.2480015,Hardware Store
518,Moss Park,Wells Fargo,28.41170273,-81.24231935,Bank
519,Moss Park,Chick-fil-A,28.380481,-81.243768,Fast Food Restaurant
520,Moss Park,Eagle Creek Golf Club,28.36923913,-81.23805862,Golf Course
521,Moss Park,Nona Blue Modern Tavern,28.4253549,-81.25235903,American Restaurant
522,Moss Park,Lake Whippoorwill KOA,28.38668344,-81.24089845,Campground
523,Moss Park,Lake Nona Golf & Country Club,28.41562607,-81.26025325,Golf Course
524,Moss Park,Menchie's,28.42515166,-81.25279473,Frozen Yogurt Shop
525,Moss Park,Firehouse Subs Lake Nona,28.358374,-81.242105,Sandwich Place
526,Moss Park,Firehouse Subs,28.38930025,-81.24616148,Sandwich Place
527,Moss Park,Wycliffe Cafe,28.41255288,-81.20220592,Café
528,Moss Park,Giovanni's,28.41263289,-81.24170972,Italian Restaurant
529,Moss Park,Walgreens,28.4150414,-81.2424153,Pharmacy
530,Moss Park,First Watch,28.37848427,-81.24461111,Breakfast Spot
531,Moss Park,The UPS Store,28.41409,-81.2413207,Shipping Store
532,Moss Park,Great Clips,28.41189382,-81.24153882,Salon / Barbershop
533,Moss Park,Chroma Modern Bar + Kitchen,28.37228673,-81.27850289,New American Restaurant
534,Moss Park,North Shore Golf Club,28.40193016,-81.22154968,Golf Course
535,Moss Park,Courtyard Orlando Lake Nona,28.3715891,-81.2786978,Hotel
536,Moss Park,Park Pizza & Brewing Co.,28.372332,-81.278047,Pizza Place
537,Moss Park,GNC,28.389278,-81.245912,Supplement Shop
538,Moss Park,Culver's,28.3907,-81.2448,Fast Food Restaurant
539,Moss Park,Jersey Mike's Subs,28.386708,-81.245044,Sandwich Place
540,Moss Park,The UPS Store,28.39125928,-81.2457432,Shipping Store
541,Moss Park,Canvas Restaurant & Market,28.37099712,-81.261513,New American Restaurant
542,Moss Park,Smoothie King,28.36241,-81.243614,Juice Bar
543,Moss Park,Tropical Smoothie Cafe,28.38664067,-81.24503391,Juice Bar
544,Moss Park,YMCA,28.4223508,-81.26212863,Gym / Fitness Center
545,Moss Park,Boxi Park,28.37292266,-81.27824507,Beer Garden
546,Moss Park,USTA Tennis Center,28.40028626,-81.27917166,Tennis Court
547,Moss Park,T-Mobile,28.3900231,-81.244919,Mobile Phone Shop
548,Moss Park,Piazza Italia,28.4250336,-81.2527007,Pizza Place
549,Moss Park,Chipotle Mexican Grill,28.3868701,-81.2449337,Mexican Restaurant
550,Moss Park,BurgerFi,28.376767,-81.244873,Burger Joint
551,Moss Park,AT&T,28.3912634,-81.2457309,Mobile Phone Shop
552,Moss Park,GNC,28.414056,-81.241269,Supplement Shop
553,Moss Park,Wawa,28.433022,-81.256287,Convenience Store
554,Moss Park,Papa John's Pizza,28.411824,-81.2415408,Pizza Place
555,Moss Park,407 Cafe,28.43389458,-81.25632204,Creperie
556,Moss Park,Durian Durian,28.41139153,-81.24068202,Thai Restaurant
557,Regent Park,Strange Matter Coffee,42.7337393,-84.52235429,Coffee Shop
558,Regent Park,Soup Spoon Cafe,42.73368727,-84.53039727,American Restaurant
559,Regent Park,Arcadia Smokehouse,42.73373902,-84.52085953,BBQ Joint
560,Regent Park,Dagwood's Tavern & Grill,42.73003397,-84.5116729,Bar
561,Regent Park,Everybody Reads,42.73387274,-84.52163239,Bookstore
562,Regent Park,Lansing River Trail,42.71808318,-84.53376084,Trail
563,Regent Park,Bake N' Cakes,42.73023622,-84.50934791,Bakery
564,Regent Park,Aladdin's,42.7369257,-84.50764925,Middle Eastern Restaurant
565,Regent Park,Personal Image Salon,42.73446881,-84.5024577,Salon / Barbershop
566,Regent Park,Potter Park Zoo,42.71801139,-84.52803612,Zoo
567,Regent Park,Eastside Fish Fry & Grill,42.73012,-84.51741,Fried Chicken Joint
568,Regent Park,Jersey Giant Subs,42.74153268,-84.50898768,Sandwich Place
569,Regent Park,Jose's Cuban Sandwich & Deli,42.74354277,-84.51817272,Cuban Restaurant
570,Regent Park,Steakhouse Philly,42.72971669,-84.5088939,Steakhouse
571,Regent Park,Penn Station East Coast Subs,42.74051249,-84.50874342,Sandwich Place
572,Regent Park,Moriarty's Pub,42.73348458,-84.54086256,Irish Pub
573,Regent Park,Zoup!,42.73192749,-84.55234601,Soup Place
574,Regent Park,Leo's Outpost,42.72791877,-84.53831678,American Restaurant
575,Regent Park,Peanut Shop,42.732907,-84.551987,Snack Place
576,Regent Park,Woody's Oasis,42.72019654,-84.49746977,Mediterranean Restaurant
577,Regent Park,Saddleback BBQ,42.72036727,-84.55219947,Restaurant
578,Regent Park,Hong Kong Restaurant,42.73057974,-84.50947822,Chinese Restaurant
579,Regent Park,Impression 5 Science Center,42.73228434,-84.54859481,Science Museum
580,Regent Park,Sparty's Coney Island,42.7368381,-84.50770708,Breakfast Spot
581,Regent Park,Budget Car Rental,42.733932,-84.514763,Rental Car Location
582,Regent Park,Good Truckin Diner,42.72155807,-84.55216185,Diner
583,Regent Park,Papa John's Pizza,42.733345,-84.527496,Pizza Place
584,Regent Park,Weston's Kewpee Sandwich,42.73281,-84.55274,Burger Joint
585,Regent Park,Sultan Express,42.73096487,-84.55207585,Middle Eastern Restaurant
586,Regent Park,YaYa's Flame Broiled Chicken,42.74103542,-84.50904978,American Restaurant
587,Regent Park,Fenner Nature Center,42.70956078,-84.5198822,Trail
588,Regent Park,Cooley Law School Stadium,42.73439692,-84.5456475,Baseball Stadium
589,Regent Park,Bangkok House,42.7405443,-84.54688189,Thai Restaurant
590,Regent Park,Kositchek's,42.73393918,-84.55220615,Men's Store
591,Regent Park,Edens Juice,42.73296344,-84.55232054,Juice Bar
592,Regent Park,Allen Street Farmer's Market,42.73052257,-84.52672178,Farmers Market
593,Regent Park,WW (Weight Watchers),42.73652972,-84.50804643,Weight Loss Center
594,Regent Park,Lansing Brewing Company,42.73699557,-84.54574977,Brewery
595,Regent Park,Ulta Beauty,42.73646,-84.505875,Cosmetics Shop
596,Regent Park,Blimpie,42.73391,-84.517845,Sandwich Place
597,Regent Park,Blue Owl Coffee,42.72029245,-84.55214454,Coffee Shop
598,Regent Park,Jalapeno's,42.7310152,-84.55211682,Mexican Restaurant
599,Regent Park,SUBWAY,42.73372802,-84.5261061,Sandwich Place
600,Regent Park,Enterprise Rent-A-Car,42.73371,-84.518592,Rental Car Location
601,Regent Park,Tavern & Tap,42.73348916,-84.55193381,Restaurant
602,Regent Park,BIGGBY COFFEE,42.74205651,-84.54618523,Coffee Shop
603,Regent Park,Starbucks,42.73408938,-84.53496987,Coffee Shop
604,Regent Park,Guitar Center,42.739004,-84.507191,Music Store
605,Regent Park,LeRoy's Bar,42.71572335,-84.54685592,Bar
606,Regent Park,Harrison Roadhouse,42.734424,-84.4933153,Restaurant
607,North Riverdale,Wegerzyn Gardens MetroPark,39.80383776,-84.20439275,Park
608,North Riverdale,Marion's Piazza,39.79721196,-84.19346087,Pizza Place
609,North Riverdale,Dollar General,39.785754,-84.210455,Discount Store
610,North Riverdale,Island MetroPark,39.77858073,-84.19760257,Park
611,North Riverdale,Family Video,39.79896545,-84.21776581,Video Store
612,North Riverdale,George's Family Restaurant,39.81494914,-84.19783636,Restaurant
613,North Riverdale,United Dairy Farmers (UDF),39.80034882,-84.1949845,Ice Cream Shop
614,North Riverdale,Roosters,39.7975126,-84.21773981,Bar
615,North Riverdale,RiverScape MetroPark,39.76446323,-84.18878809,Park
616,North Riverdale,SUBWAY,39.80184109,-84.2190393,Sandwich Place
617,North Riverdale,Evans Bakery,39.778287,-84.174084,Bakery
618,North Riverdale,Day Air Ballpark,39.76414806,-84.18590426,Baseball Stadium
619,North Riverdale,La Michoacana Mexican Market,39.779465,-84.173756,Grocery Store
620,North Riverdale,Charlie's Deli & Imports,39.77539324,-84.17480382,Sandwich Place
621,North Riverdale,Benjamins,39.77405,-84.198369,American Restaurant
622,North Riverdale,Carmen's Deli,39.7611581,-84.19097189,Sandwich Place
623,North Riverdale,2nd Street Market,39.76264221,-84.18088916,Farmers Market
624,North Riverdale,Redbox,39.78546906,-84.18938446,Video Store
625,North Riverdale,Victoria Theatre,39.76211581,-84.19247562,Theater
626,North Riverdale,Square One Salon & Spa,39.76063386,-84.18441587,Spa
627,North Riverdale,White Lotus,39.76047412,-84.18647387,Thai Restaurant
628,North Riverdale,Family Dollar,39.80369186,-84.22196198,Discount Store
629,North Riverdale,Dollar General,39.810394,-84.224714,Discount Store
630,North Riverdale,The Neon,39.75720765,-84.18804617,Indie Movie Theater
631,North Riverdale,Mudlick Tap House,39.76165321,-84.18916359,Bar
632,North Riverdale,Benjamin & Marian Schuster Performing Arts Center,39.76099324,-84.19286578,Concert Hall
633,North Riverdale,The Barrel House,39.76071454,-84.18583479,Beer Bar
634,North Riverdale,Chase Bank,39.7995,-84.218687,Bank
635,North Riverdale,Hoagie's Pizza,39.82567137,-84.19799601,Pizza Place
636,North Riverdale,The Dayton Art Institute,39.76615076,-84.20103524,Art Museum
637,North Riverdale,The Ohio Coffee Co.,39.75654047,-84.1926945,Coffee Shop
638,North Riverdale,Lily's Bistro,39.75731423,-84.18568255,New American Restaurant
639,North Riverdale,Dollar General,39.817882,-84.201121,Discount Store
640,North Riverdale,Family Dollar,39.80176163,-84.19306946,Discount Store
641,North Riverdale,SUBWAY,39.80196,-84.193759,Sandwich Place
642,North Riverdale,Roost Modern Italian,39.7569683,-84.18282224,Italian Restaurant
643,North Riverdale,The Trolley Stop,39.75700145,-84.18270912,American Restaurant
644,North Riverdale,PRESS,39.75748751,-84.18269286,Coffee Shop
645,North Riverdale,Century Bar,39.759577,-84.189739,Bar
646,North Riverdale,The Dublin Pub,39.75700493,-84.18136091,Pub
647,North Riverdale,Oregon Express,39.75710426,-84.18584015,Karaoke Bar
648,North Riverdale,Courthouse Square,39.76012867,-84.1924217,Plaza
649,North Riverdale,The Deli @ Webster Street Market,39.76218973,-84.18150039,Sandwich Place
650,North Riverdale,Thai 9,39.75694329,-84.18581569,Thai Restaurant
651,North Riverdale,Lucky's Taproom Eatery,39.75695264,-84.18297178,Bar
652,North Riverdale,Omega Music,39.75712071,-84.18617833,Record Shop
653,North Riverdale,Warped Wing Brewing Co.,39.75964418,-84.18599181,Brewery
654,North Riverdale,Brim,39.75709079,-84.18382818,Accessories Store
655,North Riverdale,Family Dollar,39.77453997,-84.20128018,Discount Store
656,North Riverdale,Redbox,39.812305,-84.228127,Video Store
657,Greenwood-Coxwell,The Wren,43.68246741,-79.32807926,American Restaurant
658,Greenwood-Coxwell,Red Rocket Coffee,43.68234009,-79.32852985,Café
659,Greenwood-Coxwell,Rendez-Vous Restaurant Bar & Cafe,43.68257027,-79.32754383,Ethiopian Restaurant
660,Greenwood-Coxwell,Monarch Park,43.67871904,-79.3259567,Park
661,Greenwood-Coxwell,Monarch Park Stadium,43.6781437,-79.32403805,Soccer Field
662,Greenwood-Coxwell,City Betty,43.6824,-79.32873,American Restaurant
663,Greenwood-Coxwell,Left Field Brewery,43.67370495,-79.33031027,Brewery
664,Greenwood-Coxwell,Starbucks,43.682379,-79.327249,Coffee Shop
665,Greenwood-Coxwell,Sala Modern Thai Kitchen & Bar,43.68188522,-79.33072047,Thai Restaurant
666,Greenwood-Coxwell,Sauce,43.68244244,-79.32817099,Bar
667,Greenwood-Coxwell,Morgan's on the Danforth,43.68204433,-79.33025532,Gastropub
668,Greenwood-Coxwell,Bodega Henriette,43.67807709,-79.31486751,Café
669,Greenwood-Coxwell,Patisserie La Cigogne,43.68251424,-79.32701974,Dessert Shop
670,Greenwood-Coxwell,Lake Inez,43.67252021,-79.3207123,Asian Restaurant
671,Greenwood-Coxwell,Local 1794,43.68449709,-79.31881714,Gastropub
672,Greenwood-Coxwell,Maha's Fine Egyptian Cuisine,43.67175796,-79.32844442,Egyptian Restaurant
673,Greenwood-Coxwell,Pilot Coffee Roasters,43.67380053,-79.33004379,Café
674,Greenwood-Coxwell,Royal Beef,43.68532513,-79.31498171,Butcher
675,Greenwood-Coxwell,efes bar&grill,43.68024175,-79.33834599,Gastropub
676,Greenwood-Coxwell,Motimahal,43.67217481,-79.32253201,Indian Restaurant
677,Greenwood-Coxwell,Udupi Palace,43.6724795,-79.32127455,Indian Restaurant
678,Greenwood-Coxwell,Budapest Restaurant,43.680946,-79.31011,Hungarian Restaurant
679,Greenwood-Coxwell,Sakawa Coffee,43.679906,-79.339807,Café
680,Greenwood-Coxwell,Danforth Dragon Restaurant,43.67981134,-79.33983843,Asian Restaurant
681,Greenwood-Coxwell,Godspeed Brewery,43.6726203,-79.31922849,Brewery
682,Greenwood-Coxwell,Mr. Pide,43.67963533,-79.34153036,Turkish Restaurant
683,Greenwood-Coxwell,The Only Cafe,43.68040899,-79.33789819,Beer Bar
684,Greenwood-Coxwell,East Lynn Park,43.684055,-79.315113,Playground
685,Greenwood-Coxwell,Blondie’s Pizza,43.666958,-79.330457,Pizza Place
686,Greenwood-Coxwell,Serano Bakery,43.68313942,-79.34653123,Bakery
687,Greenwood-Coxwell,Pinkerton Snack Bar,43.66890037,-79.33730896,Cocktail Bar
688,Greenwood-Coxwell,Athens Restaurant & Bar,43.67915877,-79.34365961,Greek Restaurant
689,Greenwood-Coxwell,The One in the Only,43.68043257,-79.33788078,Café
690,Greenwood-Coxwell,Hollandaise Diner,43.68652711,-79.30889726,Breakfast Spot
691,Greenwood-Coxwell,The Sidekick,43.66448428,-79.32516153,Comic Shop
692,Greenwood-Coxwell,Last Drop Cafe,43.68882953,-79.32600211,Coffee Shop
693,Greenwood-Coxwell,Eulalie's Corner Store,43.67253532,-79.32189619,Bar
694,Greenwood-Coxwell,Danforth Pizza House,43.68018291,-79.33879474,Pizza Place
695,Greenwood-Coxwell,Hastings Snack Bar,43.66369665,-79.32899381,Snack Place
696,Greenwood-Coxwell,Bombay Chowpatty,43.67187525,-79.32411369,Indian Restaurant
697,Greenwood-Coxwell,Withrow Park,43.67489949,-79.34843682,Park
698,Greenwood-Coxwell,Lahore Tikka House,43.67166839,-79.32470376,Pakistani Restaurant
699,Greenwood-Coxwell,Maple Leaf Tavern,43.66827375,-79.34009174,American Restaurant
700,Greenwood-Coxwell,Al Mandi Restaurant مطعم المندي,43.68222505,-79.32933205,Middle Eastern Restaurant
701,Greenwood-Coxwell,Relish Bar & Grill,43.68628014,-79.31097996,Bar
702,Greenwood-Coxwell,Danforth Bowl,43.68334594,-79.32408029,Bowling Alley
703,Greenwood-Coxwell,Cafe Fiorentina,43.677743,-79.350115,Italian Restaurant
704,Greenwood-Coxwell,Leslieville Farmers Market,43.6649014,-79.31978354,Farmers Market
705,Greenwood-Coxwell,Pizzeria Libretto,43.67848863,-79.34757579,Pizza Place
706,Greenwood-Coxwell,Riverdale Perk,43.67118405,-79.34681587,Café
707,Danforth,United States Postal Service,45.6599942,-67.86736608,Post Office
708,Danforth,Winnies Place,45.65906906,-67.86608124,Seafood Restaurant
709,Danforth,The Mill Yard,45.66506261,-67.86281973,American Restaurant
710,Woodbine Corridor,Bodega Henriette,43.67807709,-79.31486751,Café
711,Woodbine Corridor,Budapest Restaurant,43.680946,-79.31011,Hungarian Restaurant
712,Woodbine Corridor,Monarch Park Stadium,43.6781437,-79.32403805,Soccer Field
713,Woodbine Corridor,Lake Inez,43.67252021,-79.3207123,Asian Restaurant
714,Woodbine Corridor,Monarch Park,43.67871904,-79.3259567,Park
715,Woodbine Corridor,Royal Beef,43.68532513,-79.31498171,Butcher
716,Woodbine Corridor,Local 1794,43.68449709,-79.31881714,Gastropub
717,Woodbine Corridor,The Wren,43.68246741,-79.32807926,American Restaurant
718,Woodbine Corridor,Godspeed Brewery,43.6726203,-79.31922849,Brewery
719,Woodbine Corridor,Rendez-Vous Restaurant Bar & Cafe,43.68257027,-79.32754383,Ethiopian Restaurant
720,Woodbine Corridor,Red Rocket Coffee,43.68234009,-79.32852985,Café
721,Woodbine Corridor,Udupi Palace,43.6724795,-79.32127455,Indian Restaurant
722,Woodbine Corridor,Left Field Brewery,43.67370495,-79.33031027,Brewery
723,Woodbine Corridor,East Lynn Park,43.684055,-79.315113,Playground
